phase,creationDate,testRunId,osInformation,javaVersion,javaVendor,systemProperties,projectProperties,gradleVersion,executionTime
test,2023-04-14T17:27:09.356,RUN_AT_2023-04-14T17:27:09.356,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1097
test,2023-04-14T17:28:05.358,RUN_AT_2023-04-14T17:28:05.358,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1001
test,2023-04-14T17:29:27.282,RUN_AT_2023-04-14T17:29:27.282,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1059
test,2023-04-14T17:30:00.338,RUN_AT_2023-04-14T17:30:00.338,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1005
test,2023-04-14T17:30:34.695,RUN_AT_2023-04-14T17:30:34.695,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,15896
test,2023-04-14T17:55:23.839,RUN_AT_2023-04-14T17:55:23.839,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,8607
test,2023-04-14T17:56:13.038,RUN_AT_2023-04-14T17:56:13.038,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,12
test,2023-04-14T17:56:41.808,RUN_AT_2023-04-14T17:56:41.808,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1031
test,2023-04-17T13:30:02.103,RUN_AT_2023-04-17T13:30:02.103,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1217
test,2023-04-17T13:31:03.257,RUN_AT_2023-04-17T13:31:03.257,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,821
